split,label,group,path,sha256,pixel_sha256,width,height,source_url
train,early,early:179.0,data/splits/train/early/0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B 8389.JPG,29b79036b67724f6a76895d17ef1b863ad7a7134e03141b1feb601a591336123,1791b5a4266ae42eaab763a6306555e28e487dc86937429abcc158ec164f654d,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B%208389.JPG
train,early,early:204.0,data/splits/train/early/0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B 9432.JPG,ec1e81f52511918a2f14ac0ef020a850b745230de9ef74485d505133af963525,29c889960682a89c7ec06567c087f9f0a5cb58dbe5723f12aa5b51050188cc08,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/0034a551-9512-44e5-ba6c-827f85ecc688___RS_Erly.B%209432.JPG
train,early,early:162.0,data/splits/train/early/004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B 8253.JPG,896801c0cfcd0335be005844f254ff7f8c3a9c432398444f4539681f6e90603e,8242b8d70c5f88a6d939c69ded24a0feb6a1cf58b10c7da62f3f0d1796e7f8a7,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/004cbe60-8ff9-4965-92df-e86694d5e9ba___RS_Erly.B%208253.JPG
train,early,early:135.0,data/splits/train/early/00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,eb1520f70fb4f623a71e65b1431ed20a9123d1e406f49e8d372526f483e2f903,b70cf0f2b5f68aee5b52c2e4819bdc1002876adccfd11cbf64002609ed5fd43f,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B%207778.JPG
train,early,early:151.0,data/splits/train/early/00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B 7844.JPG,de01c3817dcbf1321a99d2dffea48698b9c776bccaef6ff8f23efad001da8aec,6484aba57b325cd412f9ad77597a74de6e8d46731eefe2b23cce58620eba9432,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/00e7c4b2-3005-4558-9cfa-235e356cb7a8___RS_Erly.B%207844.JPG
train,early,early:52.0,data/splits/train/early/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437.JPG,d0bcbf9dd2c47ace0d6c88809694dbd332a25b73e948f1bf8a031659d3e3c490,c8ab7d6c0043546d6c7c44102c485efc62d73f080ae7227b07f1829d5eec5af6,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B%207437.JPG
train,early,early:162.0,data/splits/train/early/011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B 8251.JPG,eb86ebb166b0e5f9ef5a0454a77e178b7d19fec9d0df6c6b9d29ead17439e934,5019a036ce63304281873754ffd461921ba040831c816f70a5e15ef4e3a41335,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/011aa278-a39e-40b0-b6e4-2e2f835889f0___RS_Erly.B%208251.JPG
validation,early,early:154.0,data/splits/validation/early/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B 7855.JPG,4874a009e40ec9aefc031e89b61d8f070c7c9df8ef7c65fb21bc43e7e1e1be75,3fcd1ec3f792ded37bbada8ff0e1e0cd859e8c224707213fbf737927d128483b,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/01861c93-ea8b-4820-aaa8-cc6003b3e75b___RS_Erly.B%207855.JPG
train,early,early:153.0,data/splits/train/early/01f87f04-ff38-4aba-b7d1-587aa06e5282___RS_Erly.B 7851.JPG,7f937f7c6a82f18b277599453bf98cf3ea58d6bec2f2f06c9270df9446c3d0f8,5b0d245924a37988ee17df1a9b10b26f52157c63076b3957c2f3e8ca0beaa2b2,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/01f87f04-ff38-4aba-b7d1-587aa06e5282___RS_Erly.B%207851.JPG
test,early,early:148.0,data/splits/test/early/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B 7829.JPG,dac3102137b279c6a777c5d12637747c38ac4e787db5b28b59bea9cec1c92a52,5edff2b2ad0e670e8bc76e1e26ad42f6ea1da3c3a857c8eb8f712b37e10065a9,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/0208ed52-1b28-4c9c-88e3-4667581e1109___RS_Erly.B%207829.JPG
train,early,early:5.0,data/splits/train/early/023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B 6354.JPG,e68c8c82f72f0979f46a1990ebe889adca39febcb31602b498e39fca9db277d0,18cdb42e3ec8ca4774dd018e6e0124e83b8608d619742a0e434704f4031a1c7d,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/023fe2d4-6e1d-40ce-99ae-85ba90f436ff___RS_Erly.B%206354.JPG
train,early,early:58.0,data/splits/train/early/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B 7464.JPG,2e2a0d622869aab536ac8d0c6f81f34ad0281db024034b84fddbf148335c80e7,1427ebfebfa8722d7a0522eef3d81bf96158dafcde637581b03b9dcb86a89ffc,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/0378db62-5231-4eff-815d-c0deb0043e80___RS_Erly.B%207464.JPG
test,early,early:77.0,data/splits/test/early/03b4571c-b1eb-4e2a-b372-307046913f50___RS_Erly.B 7548.JPG,b69f11481999b86f47ff46ced455727440f38d40c5fcc7ec71bece917f58a9e1,b8cc12aedb62b4c4ad91d3a37eb0d18427ed114b92c9facd4fdcc454b3ad38ab,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/03b4571c-b1eb-4e2a-b372-307046913f50___RS_Erly.B%207548.JPG
train,early,early:159.0,data/splits/train/early/03b7a13c-f5c0-44c4-beed-443841670e9a___RS_Erly.B 8225.JPG,89df094e148efce33a9bfa41cbd4407c44f807eacb0586e56b617e7d159210cf,7e1974b9654f845b341801929110f95d2f9defed4fc369b8f00f613a38d9330e,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/03b7a13c-f5c0-44c4-beed-443841670e9a___RS_Erly.B%208225.JPG
train,early,early:187.0,data/splits/train/early/0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B 8446.JPG,ffc090c36476d7af758c00e5c9251d7a655623980f307cccb7e23afe02eed8fb,fb89e079d90e612317efa4fc9de67b1b3a8813496a688e06b03581fb8f3ee362,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/0401adc0-0998-4d8e-90de-4eae8caf4248___RS_Erly.B%208446.JPG
train,early,early:160.0,data/splits/train/early/04747279-48b2-4ce1-932b-e511424beb6b___RS_Erly.B 8240.JPG,6d212f360c48da8c6f6563291b60e60bd5c215f981320adde51c6bf6bdddb855,dee884cdd8d72c3abf5dfc4628c56c87c21f61eeec0041dc817a5f4e29e3dd2c,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/04747279-48b2-4ce1-932b-e511424beb6b___RS_Erly.B%208240.JPG
validation,early,early:106.0,data/splits/validation/early/04ddbde3-d33c-42bf-b849-dad24d64fd6f___RS_Erly.B 7664.JPG,38093b22f698ad2707c507a8d446ac95d18f553dcec85201d567bd8c642cd65f,b8d399d2d63203288ebf9cdc5734b343dfee08454372212ca39c676fc9547ddd,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Tomato___Early_blight/04ddbde3-d33c-42bf-b849-dad24d64fd6f___RS_Erly.B%207664.JPG
