split,label,group,grouping,path,sha256,pixel_sha256,width,height,source_url
train,maize_healthy,maize_healthy:image:00031d74-076e-4aef-b040-e068cd3576eb___R.S_HL 8315 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/00031d74-076e-4aef-b040-e068cd3576eb___R.S_HL 8315 copy 2.jpg,08fead265cb88ae4d4fb05bb9f8ebf4e56d1917b14a60843ed8db75f6344868f,d6e79368ef8296c6ef8e922f38ea8d97d2a65ece5ed38ae0aa4bb52dc8b1d247,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/00031d74-076e-4aef-b040-e068cd3576eb___R.S_HL%208315%20copy%202.jpg
train,maize_healthy,maize_healthy:image:00665f92-adb0-41eb-bba7-9eeadecfe10e___R.S_HL 8325 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/00665f92-adb0-41eb-bba7-9eeadecfe10e___R.S_HL 8325 copy 2.jpg,e248578fd042c9ef0a445c89776dac7459d21a3aae816587e650b0c75319d08d,c2b4f03b4d306b1845b8a6272fe1c79251913ea025ae6035f82898d70a29f901,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/00665f92-adb0-41eb-bba7-9eeadecfe10e___R.S_HL%208325%20copy%202.jpg
test,maize_healthy,maize_healthy:image:01c3bf88-d315-42a3-8fa1-fc80a05c97f1___R.S_HL 8189 copy.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/01c3bf88-d315-42a3-8fa1-fc80a05c97f1___R.S_HL 8189 copy.jpg,4ef4ef9e5e8056959578408401c8a9b65b4333a31659ace12aea6cfaa7a0295b,0e7ce24022757cdcca3d07f692832d64090f7e551030c7bbfdea7e0020b41a07,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/01c3bf88-d315-42a3-8fa1-fc80a05c97f1___R.S_HL%208189%20copy.jpg
test,maize_healthy,maize_healthy:image:026bd735-b9f4-4eab-86f3-23df15dbec95___R.S_HL 7938 copy.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/026bd735-b9f4-4eab-86f3-23df15dbec95___R.S_HL 7938 copy.jpg,2e13237e65d9bb1d8a2f0b4a1239967621794b4387c21f5c7f11210263357530,ce0a8887d5a7b10194c02a5cdf3f5e7a0822bf4970bd740788a811ff17af18c6,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/026bd735-b9f4-4eab-86f3-23df15dbec95___R.S_HL%207938%20copy.jpg
train,maize_healthy,maize_healthy:image:028ed539-32f5-4540-a6af-466179837de9___R.S_HL 8212 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/028ed539-32f5-4540-a6af-466179837de9___R.S_HL 8212 copy.jpg,84904b423236bad8edddd412cea1ac4e657b74b60171afbfc144633c62e378f2,b265c77677ba42ced06793bd6ed0fbeaf3c418e9991e492e91ffcb256aca520e,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/028ed539-32f5-4540-a6af-466179837de9___R.S_HL%208212%20copy.jpg
train,maize_healthy,maize_healthy:image:0292a37f-07d0-401f-83d8-cde4c98547d8___R.S_HL 0630 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/0292a37f-07d0-401f-83d8-cde4c98547d8___R.S_HL 0630 copy 2.jpg,38262661465ce42987882af10f48a2ec4972e5633620f13eb3b97b20a8cfe553,acb81563e32b8aef9b4888a6a618c41b7abd68d755b51e38f30f6b201f090283,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0292a37f-07d0-401f-83d8-cde4c98547d8___R.S_HL%200630%20copy%202.jpg
train,maize_healthy,maize_healthy:image:02ab8d66-0385-43db-855a-ea5f8811ebd5___R.S_HL 7954 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/02ab8d66-0385-43db-855a-ea5f8811ebd5___R.S_HL 7954 copy.jpg,3714263db3eb9cd92606dfc19a4788a8b4b7caf1c85bb5374cd7f4e657f16362,80e70b3abe01b83db5eb455136b4be33b0c4a09bea41785b390f3f76e2a3de04,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/02ab8d66-0385-43db-855a-ea5f8811ebd5___R.S_HL%207954%20copy.jpg
test,maize_healthy,maize_healthy:image:02e76b75-f201-44ee-a694-35edf97cc82b___R.S_HL 8015 copy.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/02e76b75-f201-44ee-a694-35edf97cc82b___R.S_HL 8015 copy.jpg,7ed8a1bb54e23a7525c964a8bf7bff02af721f97667cb751c18112b9c0c9a529,f873d605a04b06542c83f4a2805accdca917913e019fdf9138dcaa35223a7c55,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/02e76b75-f201-44ee-a694-35edf97cc82b___R.S_HL%208015%20copy.jpg
test,maize_healthy,maize_healthy:image:03000565-29dc-4d56-8132-a5d0d36a8359___R.S_HL 0602.JPG,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/03000565-29dc-4d56-8132-a5d0d36a8359___R.S_HL 0602.JPG,f2598015f3d94a345b3904a8e4733d95d3dea4abea3afa91e56eed5a75058888,27cbee6f8432e912d00f8292a0c8ef285447c9ad261b90b5b9c27e0f72b439c0,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/03000565-29dc-4d56-8132-a5d0d36a8359___R.S_HL%200602.JPG
train,maize_healthy,maize_healthy:image:0305800e-de91-4742-b923-f9a1c0799392___R.S_HL 8116 copy.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/0305800e-de91-4742-b923-f9a1c0799392___R.S_HL 8116 copy.jpg,1d34ab13b81e173605505983f2a420dd7f02ef2ec34d53cbf5dd2db1985ca6d6,22bd310b7124dcfbdce6130ddb1055d38db0aabfa9f229195a13ab55305110ad,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/0305800e-de91-4742-b923-f9a1c0799392___R.S_HL%208116%20copy.jpg
test,maize_healthy,maize_healthy:image:03297f41-30ff-42db-a482-84665adfe4da___R.S_HL 8260 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/03297f41-30ff-42db-a482-84665adfe4da___R.S_HL 8260 copy 2.jpg,d6186021ab407c2d2666700b0705e3c4babf80d13f366e20ed15cea3358ccedd,6d0c8d17e4040c42db67ffb26b31f92672b7931ae759b561d9a38e7a9a2eb8b6,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/03297f41-30ff-42db-a482-84665adfe4da___R.S_HL%208260%20copy%202.jpg
train,maize_healthy,maize_healthy:image:03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/train/maize_healthy/03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL 5519 copy 2.jpg,b9d31873588ba3148b3755b883d55ef9c2aae4ed1ace293ecb25e61bf6342799,2e3cccd13ccd469b6c5a20ccf3385e9548fce011018cea0efb779a88d7d57cef,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/03fc887f-e206-4233-8829-ff7070bb3449___R.S_HL%205519%20copy%202.jpg
test,maize_healthy,maize_healthy:image:04506233-3040-4d4b-9e8f-acdd0a1e9693___R.S_HL 7942 copy 2.jpg,image_only_provisional,data/multicrop-v1/splits/test/maize_healthy/04506233-3040-4d4b-9e8f-acdd0a1e9693___R.S_HL 7942 copy 2.jpg,12356ec81fa6d4daea41db0d7cbba9b264ea99e88db5b06de013453f783187a2,e235b160aabcc58f73bc736b9cb54e4c59301f1ed56ec14c8ac04137f99473dd,256,256,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/7f7ecc7e1eaca78107e3affe7cb5abd9427e139a/raw/color/Corn_%28maize%29___healthy/04506233-3040-4d4b-9e8f-acdd0a1e9693___R.S_HL%207942%20copy%202.jpg
